scenario_id,selection_path_id,resistance_repeat,random_seed,source_category,failed_lines_W1,failed_lines_W2,failed_lines_W3,closed_roads_W1,closed_roads_W2,closed_roads_W3,slowdown_max_W1,slowdown_max_W2,slowdown_max_W3,line_recovery_violation_count,road_recovery_violation_count,slowdown_recovery_violation_count,line_persistence_pass,road_persistence_pass,slowdown_persistence_pass
1,1,1,20261718,main_ordinary,3,9,9,1,4,4,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
2,1,2,20261719,main_ordinary,5,11,11,2,7,7,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
3,1,3,20261720,main_ordinary,7,10,10,0,2,2,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
4,1,4,20261721,main_ordinary,8,11,11,0,4,4,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
5,1,5,20261722,main_ordinary,3,10,10,1,6,6,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
6,1,6,20261723,main_ordinary,5,12,12,0,4,4,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
7,1,7,20261724,main_ordinary,7,11,11,2,11,11,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
8,1,8,20261725,main_ordinary,1,7,7,0,10,10,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
9,1,9,20261726,main_ordinary,7,10,10,0,5,5,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
10,1,10,20261727,main_ordinary,9,16,16,0,3,3,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
11,1,11,20261728,main_ordinary,8,15,15,0,8,8,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
12,1,12,20261729,main_ordinary,7,9,9,0,5,5,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
13,1,13,20261730,main_ordinary,7,14,14,0,3,3,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
14,1,14,20261731,main_ordinary,4,9,9,1,4,4,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
15,1,15,20261732,main_ordinary,6,15,15,0,10,10,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
16,1,16,20261733,main_ordinary,4,13,13,3,7,7,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
17,1,17,20261734,main_ordinary,5,13,13,1,4,4,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
18,1,18,20261735,main_ordinary,5,12,12,1,10,10,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
19,1,19,20261736,main_ordinary,4,7,7,1,8,8,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
20,1,20,20261737,main_ordinary,4,9,9,0,7,7,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
21,2,1,20262718,main_ordinary,5,8,14,0,3,9,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
22,2,2,20262719,main_ordinary,6,13,18,1,6,10,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
23,2,3,20262720,main_ordinary,5,10,15,0,4,10,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
24,2,4,20262721,main_ordinary,8,11,15,0,3,8,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
25,2,5,20262722,main_ordinary,7,12,21,0,6,12,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
26,2,6,20262723,main_ordinary,4,10,17,0,4,12,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
27,2,7,20262724,main_ordinary,1,8,13,0,4,12,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
28,2,8,20262725,main_ordinary,5,10,17,0,10,19,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
29,2,9,20262726,main_ordinary,3,8,13,1,5,8,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
30,2,10,20262727,main_ordinary,6,8,16,1,4,12,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
31,2,11,20262728,main_ordinary,5,8,20,3,7,12,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
32,2,12,20262729,main_ordinary,4,12,18,0,5,14,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
33,2,13,20262730,main_ordinary,3,9,16,2,6,8,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
34,2,14,20262731,main_ordinary,7,12,18,0,2,11,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
35,2,15,20262732,main_ordinary,7,10,17,1,8,16,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
36,2,16,20262733,main_ordinary,5,12,14,0,2,8,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
37,2,17,20262734,main_ordinary,7,13,18,0,5,11,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
38,2,18,20262735,main_ordinary,1,3,15,0,7,13,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
39,2,19,20262736,main_ordinary,3,10,16,1,9,17,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
40,2,20,20262737,main_ordinary,6,10,17,1,3,13,0.0799965855832974,0.239877270075257,0.426827519661567,0,0,0,1,1,1
41,3,1,20263718,observed_candidate,0,24,30,0,22,31,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
42,3,2,20263719,observed_candidate,0,19,29,0,19,26,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
43,3,3,20263720,observed_candidate,0,22,31,0,14,22,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
44,3,4,20263721,observed_candidate,1,26,31,0,15,25,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
45,3,5,20263722,observed_candidate,0,22,30,0,13,23,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
46,3,6,20263723,observed_candidate,0,23,30,0,19,26,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
47,3,7,20263724,observed_candidate,0,20,26,0,19,26,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
48,3,8,20263725,observed_candidate,0,25,32,0,19,27,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
49,3,9,20263726,observed_candidate,0,21,31,0,16,26,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
50,3,10,20263727,observed_candidate,0,26,30,0,21,28,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
51,3,11,20263728,observed_candidate,0,19,28,0,13,19,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
52,3,12,20263729,observed_candidate,0,25,31,0,13,20,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
53,3,13,20263730,observed_candidate,2,22,31,0,18,25,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
54,3,14,20263731,observed_candidate,1,20,28,0,15,21,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
55,3,15,20263732,observed_candidate,1,23,31,0,18,25,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
56,3,16,20263733,observed_candidate,0,24,29,0,18,28,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
57,3,17,20263734,observed_candidate,0,24,31,0,11,22,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
58,3,18,20263735,observed_candidate,0,25,30,0,16,24,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
59,3,19,20263736,observed_candidate,1,22,31,0,15,25,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
60,3,20,20263737,observed_candidate,0,27,32,0,18,27,0,0.801169671861004,0.801169671861004,0,0,0,1,1,1
61,4,1,20264718,observed_candidate,4,28,28,0,27,27,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
62,4,2,20264719,observed_candidate,4,30,30,0,24,24,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
63,4,3,20264720,observed_candidate,1,25,25,0,26,26,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
64,4,4,20264721,observed_candidate,3,29,29,0,22,22,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
65,4,5,20264722,observed_candidate,3,27,27,1,27,27,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
66,4,6,20264723,observed_candidate,3,30,30,0,21,21,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
67,4,7,20264724,observed_candidate,4,30,30,0,20,20,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
68,4,8,20264725,observed_candidate,3,29,29,0,25,25,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
69,4,9,20264726,observed_candidate,2,27,27,0,20,20,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
70,4,10,20264727,observed_candidate,2,31,31,0,27,27,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
71,4,11,20264728,observed_candidate,5,29,29,1,23,23,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
72,4,12,20264729,observed_candidate,1,27,27,0,23,23,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
73,4,13,20264730,observed_candidate,2,27,27,0,26,26,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
74,4,14,20264731,observed_candidate,1,26,26,1,24,24,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
75,4,15,20264732,observed_candidate,5,28,28,0,19,19,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
76,4,16,20264733,observed_candidate,1,27,27,0,26,26,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
77,4,17,20264734,observed_candidate,5,28,28,0,28,28,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
78,4,18,20264735,observed_candidate,7,29,29,0,21,21,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
79,4,19,20264736,observed_candidate,3,28,28,0,25,25,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
80,4,20,20264737,observed_candidate,1,29,29,0,20,20,0.0233315033726882,0.791783408708685,0.791783408708685,0,0,0,1,1,1
81,5,1,20265718,unobserved_candidate,2,7,21,0,1,16,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
82,5,2,20265719,unobserved_candidate,1,7,19,0,1,12,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
83,5,3,20265720,unobserved_candidate,5,14,24,0,1,12,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
84,5,4,20265721,unobserved_candidate,0,4,14,0,0,14,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
85,5,5,20265722,unobserved_candidate,1,8,19,0,4,14,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
86,5,6,20265723,unobserved_candidate,0,7,18,0,3,14,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
87,5,7,20265724,unobserved_candidate,2,9,20,0,4,16,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
88,5,8,20265725,unobserved_candidate,0,2,15,0,2,15,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
89,5,9,20265726,unobserved_candidate,1,8,19,0,1,12,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
90,5,10,20265727,unobserved_candidate,1,2,16,0,3,12,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
91,5,11,20265728,unobserved_candidate,3,9,17,0,3,12,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
92,5,12,20265729,unobserved_candidate,0,3,19,0,1,13,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
93,5,13,20265730,unobserved_candidate,0,5,19,0,1,10,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
94,5,14,20265731,unobserved_candidate,1,8,22,0,1,12,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
95,5,15,20265732,unobserved_candidate,2,6,21,0,3,14,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
96,5,16,20265733,unobserved_candidate,3,7,21,0,3,15,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
97,5,17,20265734,unobserved_candidate,2,6,18,0,3,18,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
98,5,18,20265735,unobserved_candidate,3,9,21,0,1,15,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
99,5,19,20265736,unobserved_candidate,3,9,21,0,2,16,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
100,5,20,20265737,unobserved_candidate,2,6,19,0,1,15,0,0.132897509687845,0.802127842155619,0,0,0,1,1,1
101,6,1,20266718,unobserved_candidate,29,29,29,19,19,19,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
102,6,2,20266719,unobserved_candidate,30,30,30,25,25,25,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
103,6,3,20266720,unobserved_candidate,30,30,30,24,24,24,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
104,6,4,20266721,unobserved_candidate,28,28,28,26,26,26,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
105,6,5,20266722,unobserved_candidate,28,28,28,24,24,24,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
106,6,6,20266723,unobserved_candidate,29,29,29,26,26,26,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
107,6,7,20266724,unobserved_candidate,29,29,29,21,21,21,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
108,6,8,20266725,unobserved_candidate,28,28,28,23,23,23,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
109,6,9,20266726,unobserved_candidate,29,29,29,28,28,28,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
110,6,10,20266727,unobserved_candidate,28,28,28,27,27,27,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
111,6,11,20266728,unobserved_candidate,29,29,29,22,22,22,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
112,6,12,20266729,unobserved_candidate,31,31,31,28,28,28,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
113,6,13,20266730,unobserved_candidate,30,30,30,28,28,28,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
114,6,14,20266731,unobserved_candidate,29,29,29,28,28,28,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
115,6,15,20266732,unobserved_candidate,30,30,30,24,24,24,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
116,6,16,20266733,unobserved_candidate,28,28,28,26,26,26,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
117,6,17,20266734,unobserved_candidate,30,30,30,26,26,26,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
118,6,18,20266735,unobserved_candidate,31,31,31,25,25,25,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
119,6,19,20266736,unobserved_candidate,31,31,31,21,21,21,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
120,6,20,20266737,unobserved_candidate,32,32,32,22,22,22,0.791783408708685,0.791783408708685,0.791783408708685,0,0,0,1,1,1
121,7,1,20267718,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
122,7,2,20267719,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
123,7,3,20267720,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
124,7,4,20267721,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
125,7,5,20267722,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
126,7,6,20267723,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
127,7,7,20267724,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
128,7,8,20267725,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
129,7,9,20267726,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130,7,10,20267727,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131,7,11,20267728,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132,7,12,20267729,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133,7,13,20267730,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
134,7,14,20267731,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
135,7,15,20267732,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
136,7,16,20267733,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
137,7,17,20267734,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
138,7,18,20267735,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
139,7,19,20267736,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
140,7,20,20267737,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
141,8,1,20268718,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
142,8,2,20268719,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
143,8,3,20268720,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
144,8,4,20268721,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
145,8,5,20268722,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
146,8,6,20268723,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
147,8,7,20268724,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
148,8,8,20268725,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
149,8,9,20268726,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
150,8,10,20268727,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
151,8,11,20268728,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
152,8,12,20268729,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
153,8,13,20268730,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
154,8,14,20268731,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
155,8,15,20268732,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
156,8,16,20268733,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
157,8,17,20268734,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
158,8,18,20268735,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
159,8,19,20268736,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
160,8,20,20268737,main_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
161,9,1,20269718,observed_candidate,0,9,11,0,5,5,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
162,9,2,20269719,observed_candidate,0,6,6,0,2,3,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
163,9,3,20269720,observed_candidate,0,7,7,0,7,8,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
164,9,4,20269721,observed_candidate,0,8,10,0,2,4,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
165,9,5,20269722,observed_candidate,0,12,12,0,2,2,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
166,9,6,20269723,observed_candidate,0,9,9,0,6,6,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
167,9,7,20269724,observed_candidate,0,12,12,0,3,3,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
168,9,8,20269725,observed_candidate,0,13,13,0,2,2,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
169,9,9,20269726,observed_candidate,0,11,11,0,7,7,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
170,9,10,20269727,observed_candidate,0,10,10,0,5,5,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
171,9,11,20269728,observed_candidate,0,9,9,0,7,7,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
172,9,12,20269729,observed_candidate,0,6,7,0,4,4,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
173,9,13,20269730,observed_candidate,0,9,10,0,5,5,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
174,9,14,20269731,observed_candidate,0,11,11,0,2,2,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
175,9,15,20269732,observed_candidate,0,7,7,0,6,6,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
176,9,16,20269733,observed_candidate,0,8,8,0,1,2,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
177,9,17,20269734,observed_candidate,0,8,8,0,2,3,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
178,9,18,20269735,observed_candidate,0,10,11,0,4,4,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
179,9,19,20269736,observed_candidate,0,6,6,0,4,5,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
180,9,20,20269737,observed_candidate,0,6,6,0,2,3,0,0.172248998337743,0.176344856200126,0,0,0,1,1,1
181,10,1,20270718,observed_candidate,0,0,8,0,0,1,0,0,0.124553007042649,0,0,0,1,1,1
182,10,2,20270719,observed_candidate,0,0,4,0,0,0,0,0,0.124553007042649,0,0,0,1,1,1
183,10,3,20270720,observed_candidate,0,0,3,0,0,3,0,0,0.124553007042649,0,0,0,1,1,1
184,10,4,20270721,observed_candidate,0,0,3,0,0,2,0,0,0.124553007042649,0,0,0,1,1,1
185,10,5,20270722,observed_candidate,0,0,10,0,0,3,0,0,0.124553007042649,0,0,0,1,1,1
186,10,6,20270723,observed_candidate,0,0,6,0,0,1,0,0,0.124553007042649,0,0,0,1,1,1
187,10,7,20270724,observed_candidate,0,0,7,0,0,0,0,0,0.124553007042649,0,0,0,1,1,1
188,10,8,20270725,observed_candidate,0,0,6,0,0,1,0,0,0.124553007042649,0,0,0,1,1,1
189,10,9,20270726,observed_candidate,0,0,3,0,0,2,0,0,0.124553007042649,0,0,0,1,1,1
190,10,10,20270727,observed_candidate,0,0,5,0,0,1,0,0,0.124553007042649,0,0,0,1,1,1
191,10,11,20270728,observed_candidate,0,0,3,0,0,3,0,0,0.124553007042649,0,0,0,1,1,1
192,10,12,20270729,observed_candidate,0,0,5,0,0,1,0,0,0.124553007042649,0,0,0,1,1,1
193,10,13,20270730,observed_candidate,0,0,4,0,0,1,0,0,0.124553007042649,0,0,0,1,1,1
194,10,14,20270731,observed_candidate,0,0,3,0,0,3,0,0,0.124553007042649,0,0,0,1,1,1
195,10,15,20270732,observed_candidate,0,0,9,0,0,2,0,0,0.124553007042649,0,0,0,1,1,1
196,10,16,20270733,observed_candidate,0,0,6,0,0,2,0,0,0.124553007042649,0,0,0,1,1,1
197,10,17,20270734,observed_candidate,0,0,10,0,0,2,0,0,0.124553007042649,0,0,0,1,1,1
198,10,18,20270735,observed_candidate,0,0,10,0,0,3,0,0,0.124553007042649,0,0,0,1,1,1
199,10,19,20270736,observed_candidate,0,0,4,0,0,2,0,0,0.124553007042649,0,0,0,1,1,1
200,10,20,20270737,observed_candidate,0,1,8,0,0,0,0,0,0.124553007042649,0,0,0,1,1,1
