a0,loc0,lfw0,seed_id,base_seed,mode,fixed_a6_mps,record_count,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_upper_bound_hit_share,D_min_kg,D_max_kg,nonfinite_count,negative_value_count
5,4,0,1,20260723,M0_FIXED,55.5,2000,341.05474183782,607.969887897881,607.969887897881,0.0905,0.142176767676768,0.857823232323233,21.3679207119931,27.0707095053167,10.0335,21,5.4405,16,0.0905,0,607.969887897881,0,0
5,4,0,1,20260723,M1_A6_TRIANGULAR,NaN,2000,341.060196928784,607.969887897881,607.969887897881,0.0905,0.14222095959596,0.857779040404041,21.3708992005851,27.0707095053167,10.0355,21,5.446,16,0.0905,0,607.969887897881,0,0
2,6,0,1,20260723,M0_FIXED,55.5,2000,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,0,394.403076671303,0,0
2,6,0,1,20260723,M1_A6_TRIANGULAR,NaN,2000,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,0,394.403076671303,0,0
2,1,0,1,20260723,M0_FIXED,55.5,2000,2.86064970133377,0,112.102119302839,0,0.000196969696969697,0.99980303030303,19.0250545335282,19.0137618887991,0.0835,0,0.0275,0,0,0,498.32255952868,0,0
2,1,0,1,20260723,M1_A6_TRIANGULAR,NaN,2000,2.86064970133377,0,112.102119302839,0,0.000196969696969697,0.99980303030303,19.0250877054226,19.0137618887991,0.085,0,0.0275,0,0,0,498.32255952868,0,0
4,4,0,1,20260723,M0_FIXED,55.5,2000,160.944821754903,486.866868505032,607.969887897881,0.0155,0.0416300505050505,0.95836994949495,19.905971753735,23.2312280000968,4.5265,16,1.952,10,0.0155,0,607.969887897881,0,0
4,4,0,1,20260723,M1_A6_TRIANGULAR,NaN,2000,160.878815154243,483.593813926847,607.969887897881,0.016,0.0412916666666667,0.958708333333333,19.9053064794498,23.2366423227019,4.5245,16,1.95,10,0.016,0,607.969887897881,0,0
6,7,0,1,20260723,M0_FIXED,55.5,2000,257.574121048468,607.969887897881,607.969887897881,0.0565,0.106661616161616,0.893338383838384,20.839743423667,27.4475286337876,7.571,21,3.919,16,0.0565,0,607.969887897881,0,0
6,7,0,1,20260723,M1_A6_TRIANGULAR,NaN,2000,258.176635845403,607.969887897881,607.969887897881,0.0585,0.107575757575758,0.892424242424243,20.804261078998,27.1773250684817,7.5745,21,3.941,16,0.0585,0,607.969887897881,0,0
5,4,0,2,20260724,M0_FIXED,55.5,2000,343.715053323514,607.969887897881,607.969887897881,0.097,0.151020202020202,0.848979797979799,21.5055367728178,27.885752600134,10.206,22,5.7575,15,0.097,0,607.969887897881,0,0
5,4,0,2,20260724,M1_A6_TRIANGULAR,NaN,2000,343.761830728527,607.969887897881,607.969887897881,0.097,0.151238636363636,0.848761363636364,21.5016742879238,27.885752600134,10.2125,22,5.767,15,0.097,0,607.969887897881,0,0
2,6,0,2,20260724,M0_FIXED,55.5,2000,1.80113465892044,0,8.18263644546273,0,0.000460858585858586,0.999539141414141,19.0196088246897,19.0137618887991,0.0655,0,0.0235,0,0,0,384.583912936748,0,0
2,6,0,2,20260724,M1_A6_TRIANGULAR,NaN,2000,1.80113465892044,0,8.18263644546273,0,0.000460858585858586,0.999539141414141,19.0196088246897,19.0137618887991,0.0655,0,0.0235,0,0,0,384.583912936748,0,0
2,1,0,2,20260724,M0_FIXED,55.5,2000,2.49570411586613,0,112.102119302839,0,0.000549242424242424,0.999450757575758,19.0228851364996,19.0137618887991,0.074,0,0.0315,0,0,0,405.313258598587,0,0
2,1,0,2,20260724,M1_A6_TRIANGULAR,NaN,2000,2.49570411586613,0,112.102119302839,0,0.000549242424242424,0.999450757575758,19.0230652631167,19.0137618887991,0.074,0,0.032,0,0,0,405.313258598587,0,0
4,4,0,2,20260724,M0_FIXED,55.5,2000,158.006300630063,473.774650192292,607.969887897881,0.019,0.0407222222222222,0.959277777777778,19.8561692713784,23.0353164962868,4.49,16,1.963,10,0.019,0,607.969887897881,0,0
4,4,0,2,20260724,M1_A6_TRIANGULAR,NaN,2000,157.96320541145,473.774650192292,607.969887897881,0.0185,0.0407260101010101,0.95927398989899,19.8526519219693,23.0351560563231,4.483,16,1.9605,10,0.0185,0,607.969887897881,0,0
6,7,0,2,20260724,M0_FIXED,55.5,2000,267.936475465728,607.969887897881,607.969887897881,0.059,0.110335858585859,0.889664141414142,20.7858225870161,26.9874863633797,7.767,21,4.0765,15,0.059,0,607.969887897881,0,0
6,7,0,2,20260724,M1_A6_TRIANGULAR,NaN,2000,267.455609197283,607.969887897881,607.969887897881,0.0605,0.111693181818182,0.888306818181819,20.7806566781725,27.1562240794707,7.773,21,4.085,15,0.0605,0,607.969887897881,0,0
5,4,0,3,20260725,M0_FIXED,55.5,2000,342.114529634781,607.969887897881,607.969887897881,0.0955,0.144843434343434,0.855156565656566,21.4013913450618,27.475006501138,9.9825,21,5.4695,15,0.0955,0,607.969887897881,0,0
5,4,0,3,20260725,M1_A6_TRIANGULAR,NaN,2000,342.198538035621,607.969887897881,607.969887897881,0.0955,0.14482702020202,0.85517297979798,21.4035277393252,27.475006501138,9.982,21,5.4695,15,0.0955,0,607.969887897881,0,0
2,6,0,3,20260725,M0_FIXED,55.5,2000,2.27763685459455,0,43.6407277091345,0,0.000446969696969697,0.99955303030303,19.0231778422057,19.0137618887991,0.067,0,0.0225,0,0,0,410.222840465865,0,0
2,6,0,3,20260725,M1_A6_TRIANGULAR,NaN,2000,2.27763685459455,0,43.6407277091345,0,0.000446969696969697,0.99955303030303,19.0231778422057,19.0137618887991,0.067,0,0.0225,0,0,0,410.222840465865,0,0
2,1,0,3,20260725,M0_FIXED,55.5,2000,3.00289119821073,0,102.282955568284,0.0005,0.000448232323232323,0.999551767676768,19.0282274376423,19.0137618887991,0.077,0,0.031,0,0.0005,0,607.969887897881,0,0
2,1,0,3,20260725,M1_A6_TRIANGULAR,NaN,2000,3.00289119821073,0,102.282955568284,0.0005,0.000448232323232323,0.999551767676768,19.0282274376423,19.0137618887991,0.077,0,0.031,0,0.0005,0,607.969887897881,0,0
4,4,0,3,20260725,M0_FIXED,55.5,2000,161.6954422715,509.778250552328,607.969887897881,0.021,0.0467474747474748,0.953252525252526,19.8886296827093,23.5399495467879,4.7135,18,2.107,11,0.021,0,607.969887897881,0,0
4,4,0,3,20260725,M1_A6_TRIANGULAR,NaN,2000,161.698169816982,513.051305130513,607.969887897881,0.0215,0.0467070707070707,0.95329292929293,19.8956735908116,23.5092423790875,4.7135,18,2.107,11,0.0215,0,607.969887897881,0,0
6,7,0,3,20260725,M0_FIXED,55.5,2000,261.402913018575,607.969887897881,607.969887897881,0.065,0.11110101010101,0.88889898989899,20.8405382024422,27.4227992530246,7.591,22,4.0685,15,0.065,0,607.969887897881,0,0
6,7,0,3,20260725,M1_A6_TRIANGULAR,NaN,2000,259.881624526089,607.969887897881,607.969887897881,0.063,0.111013888888889,0.888986111111112,20.8463935420459,27.6836830826082,7.6005,22,4.0865,15,0.063,0,607.969887897881,0,0
