a0,loc0,lfw0,seed_id,base_seed,metric,M0_value,step3e_M0_value,absolute_difference,match_within_1e_12
5,4,0,1,20260723,D_mean_kg,341.05474183782,341.05474183782,1.13686837721616e-13,1
5,4,0,1,20260723,D_q95_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,1,20260723,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,1,20260723,full_loss_probability,0.0905,0.0905,0,1
5,4,0,1,20260723,A0_pair_share,0.142176767676768,0.142176767676768,1.94289029309402e-16,1
5,4,0,1,20260723,reachable_pair_share,0.857823232323233,0.857823232323233,2.22044604925031e-16,1
5,4,0,1,20260723,C_reachable_mean_km,21.3679207119931,21.3679207119931,3.90798504668055e-14,1
5,4,0,1,20260723,C_reachable_q95_km,27.0707095053167,27.0707095053167,0,1
5,4,0,1,20260723,W3_failed_lines_mean,10.0335,10.0335,0,1
5,4,0,1,20260723,W3_failed_lines_q95,21,21,0,1
5,4,0,1,20260723,W3_closed_roads_mean,5.4405,5.4405,0,1
5,4,0,1,20260723,W3_closed_roads_q95,16,16,0,1
5,4,0,2,20260724,D_mean_kg,343.715053323514,343.715053323514,2.27373675443232e-13,1
5,4,0,2,20260724,D_q95_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,2,20260724,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,2,20260724,full_loss_probability,0.097,0.097,0,1
5,4,0,2,20260724,A0_pair_share,0.151020202020202,0.151020202020202,1.11022302462516e-16,1
5,4,0,2,20260724,reachable_pair_share,0.848979797979799,0.848979797979799,3.33066907387547e-16,1
5,4,0,2,20260724,C_reachable_mean_km,21.5055367728178,21.5055367728178,2.1316282072803e-14,1
5,4,0,2,20260724,C_reachable_q95_km,27.885752600134,27.885752600134,1.06581410364015e-14,1
5,4,0,2,20260724,W3_failed_lines_mean,10.206,10.206,0,1
5,4,0,2,20260724,W3_failed_lines_q95,22,22,0,1
5,4,0,2,20260724,W3_closed_roads_mean,5.7575,5.7575,0,1
5,4,0,2,20260724,W3_closed_roads_q95,15,15,0,1
5,4,0,3,20260725,D_mean_kg,342.114529634781,342.114529634781,4.54747350886464e-13,1
5,4,0,3,20260725,D_q95_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,3,20260725,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,3,20260725,full_loss_probability,0.0955,0.0955,0,1
5,4,0,3,20260725,A0_pair_share,0.144843434343434,0.144843434343434,4.71844785465692e-16,1
5,4,0,3,20260725,reachable_pair_share,0.855156565656566,0.855156565656566,2.22044604925031e-16,1
5,4,0,3,20260725,C_reachable_mean_km,21.4013913450618,21.4013913450618,1.06581410364015e-14,1
5,4,0,3,20260725,C_reachable_q95_km,27.475006501138,27.475006501138,1.06581410364015e-14,1
5,4,0,3,20260725,W3_failed_lines_mean,9.9825,9.9825,0,1
5,4,0,3,20260725,W3_failed_lines_q95,21,21,0,1
5,4,0,3,20260725,W3_closed_roads_mean,5.4695,5.4695,0,1
5,4,0,3,20260725,W3_closed_roads_q95,15,15,0,1
2,6,0,1,20260723,D_mean_kg,0.86490467228541,0.86490467228541,3.33066907387547e-16,1
2,6,0,1,20260723,D_q95_kg,0,0,0,1
2,6,0,1,20260723,D_q99_kg,0,0,0,1
2,6,0,1,20260723,full_loss_probability,0,0,0,1
2,6,0,1,20260723,A0_pair_share,0.000236111111111111,0.000236111111111111,8.13151629364128e-20,1
2,6,0,1,20260723,reachable_pair_share,0.999763888888889,0.999763888888889,1.11022302462516e-16,1
2,6,0,1,20260723,C_reachable_mean_km,19.0171303627163,19.0171303627163,1.77635683940025e-14,1
2,6,0,1,20260723,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
2,6,0,1,20260723,W3_failed_lines_mean,0.028,0.028,0,1
2,6,0,1,20260723,W3_failed_lines_q95,0,0,0,1
2,6,0,1,20260723,W3_closed_roads_mean,0.015,0.015,0,1
2,6,0,1,20260723,W3_closed_roads_q95,0,0,0,1
2,6,0,2,20260724,D_mean_kg,1.80113465892044,1.80113465892044,2.22044604925031e-15,1
2,6,0,2,20260724,D_q95_kg,0,0,0,1
2,6,0,2,20260724,D_q99_kg,8.18263644546273,8.18263644546273,3.5527136788005e-15,1
2,6,0,2,20260724,full_loss_probability,0,0,0,1
2,6,0,2,20260724,A0_pair_share,0.000460858585858586,0.000460858585858586,1.62630325872826e-19,1
2,6,0,2,20260724,reachable_pair_share,0.999539141414141,0.999539141414141,3.33066907387547e-16,1
2,6,0,2,20260724,C_reachable_mean_km,19.0196088246897,19.0196088246897,1.4210854715202e-14,1
2,6,0,2,20260724,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
2,6,0,2,20260724,W3_failed_lines_mean,0.0655,0.0655,0,1
2,6,0,2,20260724,W3_failed_lines_q95,0,0,0,1
2,6,0,2,20260724,W3_closed_roads_mean,0.0235,0.0235,0,1
2,6,0,2,20260724,W3_closed_roads_q95,0,0,0,1
2,6,0,3,20260725,D_mean_kg,2.27763685459455,2.27763685459455,0,1
2,6,0,3,20260725,D_q95_kg,0,0,0,1
2,6,0,3,20260725,D_q99_kg,43.6407277091345,43.6407277091345,4.2632564145606e-14,1
2,6,0,3,20260725,full_loss_probability,0,0,0,1
2,6,0,3,20260725,A0_pair_share,0.000446969696969697,0.000446969696969697,5.42101086242752e-20,1
2,6,0,3,20260725,reachable_pair_share,0.99955303030303,0.99955303030303,2.22044604925031e-16,1
2,6,0,3,20260725,C_reachable_mean_km,19.0231778422057,19.0231778422057,1.06581410364015e-14,1
2,6,0,3,20260725,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
2,6,0,3,20260725,W3_failed_lines_mean,0.067,0.067,0,1
2,6,0,3,20260725,W3_failed_lines_q95,0,0,0,1
2,6,0,3,20260725,W3_closed_roads_mean,0.0225,0.0225,0,1
2,6,0,3,20260725,W3_closed_roads_q95,0,0,0,1
2,1,0,1,20260723,D_mean_kg,2.86064970133377,2.86064970133377,4.44089209850063e-16,1
2,1,0,1,20260723,D_q95_kg,0,0,0,1
2,1,0,1,20260723,D_q99_kg,112.102119302839,112.102119302839,3.69482222595252e-13,1
2,1,0,1,20260723,full_loss_probability,0,0,0,1
2,1,0,1,20260723,A0_pair_share,0.000196969696969697,0.000196969696969697,2.71050543121376e-20,1
2,1,0,1,20260723,reachable_pair_share,0.99980303030303,0.99980303030303,4.44089209850063e-16,1
2,1,0,1,20260723,C_reachable_mean_km,19.0250545335282,19.0250545335282,1.77635683940025e-14,1
2,1,0,1,20260723,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
2,1,0,1,20260723,W3_failed_lines_mean,0.0835,0.0835,0,1
2,1,0,1,20260723,W3_failed_lines_q95,0,0,0,1
2,1,0,1,20260723,W3_closed_roads_mean,0.0275,0.0275,0,1
2,1,0,1,20260723,W3_closed_roads_q95,0,0,0,1
2,1,0,2,20260724,D_mean_kg,2.49570411586613,2.49570411586613,2.22044604925031e-15,1
2,1,0,2,20260724,D_q95_kg,0,0,0,1
2,1,0,2,20260724,D_q99_kg,112.102119302839,112.102119302839,3.69482222595252e-13,1
2,1,0,2,20260724,full_loss_probability,0,0,0,1
2,1,0,2,20260724,A0_pair_share,0.000549242424242424,0.000549242424242424,2.16840434497101e-19,1
2,1,0,2,20260724,reachable_pair_share,0.999450757575758,0.999450757575758,3.33066907387547e-16,1
2,1,0,2,20260724,C_reachable_mean_km,19.0228851364996,19.0228851364996,3.5527136788005e-14,1
2,1,0,2,20260724,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
2,1,0,2,20260724,W3_failed_lines_mean,0.074,0.074,0,1
2,1,0,2,20260724,W3_failed_lines_q95,0,0,0,1
2,1,0,2,20260724,W3_closed_roads_mean,0.0315,0.0315,0,1
2,1,0,2,20260724,W3_closed_roads_q95,0,0,0,1
2,1,0,3,20260725,D_mean_kg,3.00289119821073,3.00289119821073,4.44089209850063e-16,1
2,1,0,3,20260725,D_q95_kg,0,0,0,1
2,1,0,3,20260725,D_q99_kg,102.282955568284,102.282955568284,9.9475983006414e-14,1
2,1,0,3,20260725,full_loss_probability,0.0005,0.0005,0,1
2,1,0,3,20260725,A0_pair_share,0.000448232323232323,0.000448232323232323,2.16840434497101e-19,1
2,1,0,3,20260725,reachable_pair_share,0.999551767676768,0.999551767676768,3.33066907387547e-16,1
2,1,0,3,20260725,C_reachable_mean_km,19.0282274376423,19.0282274376423,1.4210854715202e-14,1
2,1,0,3,20260725,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
2,1,0,3,20260725,W3_failed_lines_mean,0.077,0.077,0,1
2,1,0,3,20260725,W3_failed_lines_q95,0,0,0,1
2,1,0,3,20260725,W3_closed_roads_mean,0.031,0.031,0,1
2,1,0,3,20260725,W3_closed_roads_q95,0,0,0,1
4,4,0,1,20260723,D_mean_kg,160.944821754903,160.944821754903,3.12638803734444e-13,1
4,4,0,1,20260723,D_q95_kg,486.866868505032,486.866868505032,3.41060513164848e-13,1
4,4,0,1,20260723,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
4,4,0,1,20260723,full_loss_probability,0.0155,0.0155,0,1
4,4,0,1,20260723,A0_pair_share,0.0416300505050505,0.0416300505050505,1.38777878078145e-17,1
4,4,0,1,20260723,reachable_pair_share,0.95836994949495,0.95836994949495,3.33066907387547e-16,1
4,4,0,1,20260723,C_reachable_mean_km,19.905971753735,19.905971753735,3.5527136788005e-14,1
4,4,0,1,20260723,C_reachable_q95_km,23.2312280000968,23.2312280000968,1.77635683940025e-14,1
4,4,0,1,20260723,W3_failed_lines_mean,4.5265,4.5265,0,1
4,4,0,1,20260723,W3_failed_lines_q95,16,16,0,1
4,4,0,1,20260723,W3_closed_roads_mean,1.952,1.952,0,1
4,4,0,1,20260723,W3_closed_roads_q95,10,10,0,1
4,4,0,2,20260724,D_mean_kg,158.006300630063,158.006300630063,5.6843418860808e-14,1
4,4,0,2,20260724,D_q95_kg,473.774650192292,473.774650192292,5.6843418860808e-14,1
4,4,0,2,20260724,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
4,4,0,2,20260724,full_loss_probability,0.019,0.019,0,1
4,4,0,2,20260724,A0_pair_share,0.0407222222222222,0.0407222222222222,2.77555756156289e-17,1
4,4,0,2,20260724,reachable_pair_share,0.959277777777778,0.959277777777778,1.11022302462516e-16,1
4,4,0,2,20260724,C_reachable_mean_km,19.8561692713784,19.8561692713784,3.5527136788005e-14,1
4,4,0,2,20260724,C_reachable_q95_km,23.0353164962868,23.0353164962868,3.19744231092045e-14,1
4,4,0,2,20260724,W3_failed_lines_mean,4.49,4.49,0,1
4,4,0,2,20260724,W3_failed_lines_q95,16,16,0,1
4,4,0,2,20260724,W3_closed_roads_mean,1.963,1.963,0,1
4,4,0,2,20260724,W3_closed_roads_q95,10,10,0,1
4,4,0,3,20260725,D_mean_kg,161.6954422715,161.6954422715,2.55795384873636e-13,1
4,4,0,3,20260725,D_q95_kg,509.778250552328,509.778250552328,5.6843418860808e-14,1
4,4,0,3,20260725,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
4,4,0,3,20260725,full_loss_probability,0.021,0.021,0,1
4,4,0,3,20260725,A0_pair_share,0.0467474747474748,0.0467474747474748,4.85722573273506e-17,1
4,4,0,3,20260725,reachable_pair_share,0.953252525252526,0.953252525252526,2.22044604925031e-16,1
4,4,0,3,20260725,C_reachable_mean_km,19.8886296827093,19.8886296827093,2.8421709430404e-14,1
4,4,0,3,20260725,C_reachable_q95_km,23.5399495467879,23.5399495467879,3.19744231092045e-14,1
4,4,0,3,20260725,W3_failed_lines_mean,4.7135,4.7135,0,1
4,4,0,3,20260725,W3_failed_lines_q95,18,18,0,1
4,4,0,3,20260725,W3_closed_roads_mean,2.107,2.107,0,1
4,4,0,3,20260725,W3_closed_roads_q95,11,11,0,1
6,7,0,1,20260723,D_mean_kg,257.574121048468,257.574121048468,4.54747350886464e-13,1
6,7,0,1,20260723,D_q95_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
6,7,0,1,20260723,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
6,7,0,1,20260723,full_loss_probability,0.0565,0.0565,0,1
6,7,0,1,20260723,A0_pair_share,0.106661616161616,0.106661616161616,2.22044604925031e-16,1
6,7,0,1,20260723,reachable_pair_share,0.893338383838384,0.893338383838384,2.22044604925031e-16,1
6,7,0,1,20260723,C_reachable_mean_km,20.839743423667,20.839743423667,0,1
6,7,0,1,20260723,C_reachable_q95_km,27.4475286337876,27.4475286337876,0,1
6,7,0,1,20260723,W3_failed_lines_mean,7.571,7.571,0,1
6,7,0,1,20260723,W3_failed_lines_q95,21,21,0,1
6,7,0,1,20260723,W3_closed_roads_mean,3.919,3.919,0,1
6,7,0,1,20260723,W3_closed_roads_q95,16,16,0,1
6,7,0,2,20260724,D_mean_kg,267.936475465728,267.936475465728,3.41060513164848e-13,1
6,7,0,2,20260724,D_q95_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
6,7,0,2,20260724,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
6,7,0,2,20260724,full_loss_probability,0.059,0.059,0,1
6,7,0,2,20260724,A0_pair_share,0.110335858585859,0.110335858585859,3.7470027081099e-16,1
6,7,0,2,20260724,reachable_pair_share,0.889664141414142,0.889664141414142,0,1
6,7,0,2,20260724,C_reachable_mean_km,20.7858225870161,20.7858225870161,1.06581410364015e-14,1
6,7,0,2,20260724,C_reachable_q95_km,26.9874863633797,26.9874863633797,4.61852778244065e-14,1
6,7,0,2,20260724,W3_failed_lines_mean,7.767,7.767,0,1
6,7,0,2,20260724,W3_failed_lines_q95,21,21,0,1
6,7,0,2,20260724,W3_closed_roads_mean,4.0765,4.0765,0,1
6,7,0,2,20260724,W3_closed_roads_q95,15,15,0,1
6,7,0,3,20260725,D_mean_kg,261.402913018575,261.402913018575,3.97903932025656e-13,1
6,7,0,3,20260725,D_q95_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
6,7,0,3,20260725,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
6,7,0,3,20260725,full_loss_probability,0.065,0.065,0,1
6,7,0,3,20260725,A0_pair_share,0.11110101010101,0.11110101010101,1.52655665885959e-16,1
6,7,0,3,20260725,reachable_pair_share,0.88889898989899,0.88889898989899,3.33066907387547e-16,1
6,7,0,3,20260725,C_reachable_mean_km,20.8405382024422,20.8405382024422,2.8421709430404e-14,1
6,7,0,3,20260725,C_reachable_q95_km,27.4227992530246,27.4227992530246,1.06581410364015e-14,1
6,7,0,3,20260725,W3_failed_lines_mean,7.591,7.591,0,1
6,7,0,3,20260725,W3_failed_lines_q95,22,22,0,1
6,7,0,3,20260725,W3_closed_roads_mean,4.0685,4.0685,0,1
6,7,0,3,20260725,W3_closed_roads_q95,15,15,0,1
